x,y,cumulative_length
1229.8000000000002,8829.9,14849.055631908883
1294.9,8748.300000000001,14953.442268984707
1347.9,8660.0,15056.42717079075
1397.5,8572.800000000001,15156.746660422625
1439.4,8476.800000000001,15261.492113784572
1513.4,8415.0,15357.903938785452
1614.9,8362.1,15472.36205339512
1769.4,8344.4,15627.872631813438
1934.9,8344.4,15793.372631813438
2067.3,8354.300000000001,15926.142244300634
2219.6,8352.1,16078.458133163222
2329.9,8319.0,16193.617587833693
2452.4,8267.2,16326.619429926199
2573.8,8194.300000000001,16468.225821024906
2711.7000000000003,8122.6,16623.652009294452
2838.6000000000004,8076.3,16758.73457663754
3008.6000000000004,8052.0,16930.462530098823
3196.2000000000003,8063.0,17118.384748050827
3372.7000000000003,8079.6,17295.663652605203
